Circuit: * D:\Deli_sync_ws\Project\Current_probe\Doge_probe_deli\spice\AD8129.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 8.24303e-07 to 8.24303e-07
Heightened Def Con from 8.24303e-07 ++++++to 8.24303e-07
Heightened Def Con from 8.32342e-07 to 8.32342e-07
Heightened Def Con from 8.32342e-07 to 8.32342e-07
Heightened Def Con from 8.32342e-07 ++++to 8.32342e-07
Heightened Def Con from 8.34375e-07 to 8.34375e-07
Heightened Def Con from 8.34375e-07 to 8.34375e-07
Heightened Def Con from 8.59002e-07 to 8.59002e-07
Heightened Def Con from 8.63144e-07 to 8.63144e-07
Heightened Def Con from 8.63144e-07 +++to 8.63144e-07
Heightened Def Con from 8.63144e-07 to 8.63144e-07
Heightened Def Con from 8.67284e-07 +to 8.67284e-07
Heightened Def Con from 8.67284e-07 +++to 8.67284e-07
Heightened Def Con from 8.67284e-07 to 8.67284e-07
Heightened Def Con from 8.75553e-07 to 8.75553e-07
Heightened Def Con from 8.75553e-07 to 8.75553e-07
Heightened Def Con from 8.75553e-07 ++++to 8.75553e-07
Heightened Def Con from 8.87938e-07 to 8.87938e-07
Heightened Def Con from 8.87938e-07 to 8.87938e-07
Heightened Def Con from 8.94042e-07 ++to 8.94042e-07
Heightened Def Con from 8.94042e-07 to 8.94042e-07
Heightened Def Con from 8.94042e-07 to 8.94042e-07
Heightened Def Con from 9.0519e-07 to 9.0519e-07
Heightened Def Con from 9.30519e-07 to 9.30519e-07
Heightened Def Con from 9.54962e-07 to 9.54962e-07
Heightened Def Con from 9.9219e-07 to 9.9219e-07
Heightened Def Con from 9.9219e-07 +++to 9.9219e-07
Heightened Def Con from 1.01473e-06 to 1.01473e-06
Heightened Def Con from 1.05117e-06 to 1.05117e-06
Heightened Def Con from 1.05117e-06 to 1.05117e-06
Heightened Def Con from 1.07603e-06 to 1.07603e-06
Heightened Def Con from 1.08017e-06 ++to 1.08017e-06
Heightened Def Con from 1.08841e-06 to 1.08841e-06
Heightened Def Con from 1.08841e-06 to 1.08841e-06
Heightened Def Con from 1.08841e-06 ++++to 1.08841e-06
Heightened Def Con from 1.11294e-06 to 1.11294e-06
Heightened Def Con from 1.12099e-06 +++++to 1.12099e-06
Heightened Def Con from 1.15134e-06 to 1.15134e-06
Heightened Def Con from 1.15134e-06 ++to 1.15134e-06
Heightened Def Con from 1.1866e-06 to 1.1866e-06
Heightened Def Con from 1.1866e-06 ++to 1.1866e-06
Heightened Def Con from 1.19897e-06 +++to 1.19897e-06
Heightened Def Con from 1.20306e-06 to 1.20306e-06
Heightened Def Con from 1.20306e-06 ++to 1.20306e-06
Heightened Def Con from 1.20306e-06 +++++to 1.20306e-06
Heightened Def Con from 1.20306e-06 +++++to 1.20306e-06
Heightened Def Con from 1.20505e-06 to 1.20505e-06
Heightened Def Con from 1.20519e-06 to 1.20519e-06
Heightened Def Con from 1.20713e-06 to 1.20713e-06
Heightened Def Con from 1.25573e-06 to 1.25573e-06
Heightened Def Con from 1.26406e-06 to 1.26406e-06
Heightened Def Con from 1.26406e-06 to 1.26406e-06
Heightened Def Con from 1.26406e-06 to 1.26406e-06
Heightened Def Con from 1.26406e-06 to 1.26406e-06
Heightened Def Con from 1.3234e-06 ++++to 1.3234e-06
Heightened Def Con from 1.34351e-06 ++++to 1.34351e-06
Heightened Def Con from 1.3724e-06 to 1.3724e-06
Heightened Def Con from 1.3952e-06 to 1.3952e-06
Heightened Def Con from 1.40946e-06 to 1.40946e-06
Heightened Def Con from 1.40946e-06 to 1.40946e-06
Heightened Def Con from 1.40946e-06 to 1.40946e-06
Heightened Def Con from 1.40946e-06 +++++to 1.40946e-06
Heightened Def Con from 1.41555e-06 +++to 1.41555e-06
Heightened Def Con from 1.41555e-06 +++to 1.41555e-06
Heightened Def Con from 1.45573e-06 to 1.45573e-06
Heightened Def Con from 1.46633e-06 to 1.46633e-06
Heightened Def Con from 1.46633e-06 to 1.46633e-06
Heightened Def Con from 1.49743e-06 to 1.49743e-06
Heightened Def Con from 1.49743e-06 to 1.49743e-06
Heightened Def Con from 1.49743e-06 to 1.49743e-06
Heightened Def Con from 1.49743e-06 ++++to 1.49743e-06
Heightened Def Con from 1.52978e-06 to 1.52978e-06
Heightened Def Con from 1.52978e-06 ++to 1.52978e-06
Heightened Def Con from 1.52978e-06 +++to 1.52978e-06
Heightened Def Con from 1.54191e-06 to 1.54191e-06
Heightened Def Con from 1.54191e-06 to 1.54191e-06
Heightened Def Con from 1.54191e-06 to 1.54191e-06
Heightened Def Con from 1.54799e-06 to 1.54799e-06
Heightened Def Con from 1.56255e-06 to 1.56255e-06
Heightened Def Con from 1.56255e-06 ++to 1.56255e-06
Heightened Def Con from 1.56255e-06 ++++to 1.56255e-06
Heightened Def Con from 1.56451e-06 to 1.56451e-06
Heightened Def Con from 1.58323e-06 to 1.58323e-06
Heightened Def Con from 1.58323e-06 +++to 1.58323e-06
Heightened Def Con from 1.60787e-06 to 1.60787e-06
Heightened Def Con from 1.60787e-06 to 1.60787e-06
Heightened Def Con from 1.60986e-06 to 1.60986e-06
Heightened Def Con from 1.62597e-06 to 1.62597e-06
Heightened Def Con from 1.62597e-06 ++to 1.62597e-06
Heightened Def Con from 1.62597e-06 +++to 1.62597e-06
Heightened Def Con from 1.62597e-06 to 1.62597e-06
Heightened Def Con from 1.675e-06 to 1.675e-06
Heightened Def Con from 1.675e-06 ++++to 1.675e-06
Heightened Def Con from 1.70519e-06 to 1.70519e-06
Heightened Def Con from 1.71407e-06 to 1.71407e-06
Heightened Def Con from 1.71407e-06 ++to 1.71407e-06
Heightened Def Con from 1.71407e-06 to 1.71407e-06
Heightened Def Con from 1.71607e-06 to 1.71607e-06
